GZÜV-ID;Gemeindename;Quartal;G102;G107;G111;G113;G114;G116;G118;G119;G121;G122;G123;G130;G134;G135;G136;G137;G138;G139;G151;G152;G153;G154;G155;G156;G157;G159;G160;G161;G164;G165;G223;G226;G227;G228;G285;G366;G421;G422;G423;G424;G425;G426;G427;G428;G429;G433;
GZÜV-ID;Gemeindename;Quartal;ENTNAHME-DATUM;LUFTTEMPERATUR IN °C;GERUCH;FAERBUNG;TRUEBUNG;WASSERTEMPERATUR °C;PH-WERT;SAUERSTOFFGEHALT mg/l;REDOXPOTENTIAL mV;GESAMTHAERTE °dH;KARBONATHAERTE °dH;FREIE KOHLENSAEURE mg/l;CALCIUM mg/l;MAGNESIUM mg/l;NATRIUM mg/l;KALIUM mg/l;EISEN mg/l;MANGAN mg/l;BOR mg/l;AMMONIUM mg/l;NITRIT mg/l;NITRAT mg/l;CHLORID mg/l;SULFAT mg/l;HYDROGENK. mg/l;ORTHOPHOSPHAT mg/l;KIESELSAEURE mg/l;FLUORID mg/l;DOC mg/l;TOC mg/l;QUELLSCHÜTTUNG l/s;TRITIUM TE;DEUTERIUM d 0/00;SAUERSTOFF 18 d 0/00;RADON-222 Bq/l;ELEKTR. LEITF. (bei 20°C) µS/cm;CADMIUM µg/l;QUECKSILBER µg/l;ZINK µg/l;KUPFER µg/l;ALUMINIUM µg/l;BLEI µg/l;CHROM-GESAMT (filtriert) µg/l;NICKEL µg/l;ARSEN µg/l;URAN µg/l;
"KK72340032";"Telfes im Stubai";"Q4 2015 (B540)";"13.10.2015";"8";"geruchlos";"farblos";"keine Trübung";"4.6";"8.2";"10.91";"";"6.14611";"6.05664";"";"23.39502";"12.45403";"<1";"<2";"[0,00164]";"[0,00099]";"[0,00427]";"[0,00318]";"[0,00242]";"1.85918";"<1";"1.4403";"131.79672";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"187";"";"";"";"";"";"";"";"";"";"";
"KK72340032";"Telfes im Stubai";"Q2 2016 (B620)";"28.06.2016";"15";"geruchlos";"farblos";"keine Trübung";"4.6";"8.2";"11.25";"";"6.5118";"6.25292";"";"23.69812";"13.85538";"<1";"<2";"[0,00085]";"[0,00052]";"<0,02";"0.00822";"<0,006";"1.96805";"<1";"1.34781";"136.06791";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"192";"[0,012447]";"<0,2";"<5";"[0,11097]";"<10";"[0,11048]";"[0,26783]";"[0,21894]";"<1";"<1";
"KK72340032";"Telfes im Stubai";"Q2 2017 (B720)";"06.06.2017";"18";"geruchlos";"farblos";"keine Trübung";"4.6";"8.1";"11.14";"";"6.44135";"6.33704";"";"24.70606";"12.93875";"<1";"<2";"[0,00092]";"[0,0006]";"[0,00246]";"[0,00151]";"<0,01";"2.04348";"<1";"1.58486";"137.89842";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"195";"<0,2";"[0,0245]";"<5";"<1";"<10";"[0,0891]";"<1";"<1";"<1";"<1";
"KK72340032";"Telfes im Stubai";"Q2 2018 (B820)";"11.06.2018";"19";"geruchlos";"farblos";"keine Trübung";"4.6";"8.15";"11.25";"";"6.60312";"6.36508";"";"25.00322";"13.45978";"<1";"<2";"[0,00104]";"[0,0014]";"[0,0021]";"<0,01";"[0,00256]";"1.94598";"<1";"1.39293";"138.50859";"<0,015";"";"";"<0,5";"";"";"";"";"";"";"194";"[0,01788]";"<0,2";"<5";"[0,16224]";"<10";"[0,15295]";"[0,26954]";"[0,22153]";"<1";"<1";
"KK72340032";"Telfes im Stubai";"Q2 2019 (B920)";"05.06.2019";"11";"geruchlos";"farblos";"keine Trübung";"4.7";"8.12";"11.58";"";"7.17144";"6.7296";"";"27.72261";"14.27415";"<1";"<2";"[0,00184]";"[0,00152]";"[0,00145]";"<0,01";"[0,00056]";"2.37984";"<1";"1.31522";"146.4408";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"205";"[0,02047]";"[0,00458]";"<5";"<1";"<10";"[0,09319]";"[0,15566]";"[0,27205]";"<1";"<1";
"KK72340032";"Telfes im Stubai";"Q3 2019 (B930)";"29.07.2019";"15";"geruchlos";"farblos";"keine Trübung";"4.7";"8.16";"11.34";"";"6.13494";"6.19684";"";"23.34039";"12.43877";"<1";"<2";"[0,00187]";"[0,00169]";"<0,02";"[0,00262]";"[0,00132]";"2.0659";"<1";"1.34763";"134.84757";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"190";"[0,02284]";"[0,00369]";"<5";"<1";"<10";"[0,19429]";"<1";"[0,23478]";"<1";"<1";
"KK72340032";"Telfes im Stubai";"Q4 2019 (B940)";"09.10.2019";"10";"geruchlos";"farblos";"keine Trübung";"4.6";"7.85";"11.17";"";"6.87803";"6.1688";"";"26.26616";"13.88555";"<1";"<2";"[0,00214]";"[0,00128]";"[0,00239]";"<0,01";"[0,00245]";"1.88086";"<1";"1.41065";"134.2374";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"190";"[0,01915]";"[0,00355]";"<5";"[0,18789]";"<10";"[0,1243]";"[0,26241]";"[0,13459]";"<1";"<1";
"KK72340032";"Telfes im Stubai";"Q2 2020 (C020)";"25.06.2020";"17";"geruchlos";"farblos";"keine Trübung";"4.7";"8.09";"11.14";"";"6.59237";"6.309";"";"25.51246";"12.80588";"<1";"<2";"[0,00119]";"[0,00098]";"[0,00226]";"[0,00144]";"[0,0007]";"2.10413";"<1";"1.44279";"137.28825";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"193";"[0,00704]";"[0,00319]";"[0,46634]";"<1";"[0,99681]";"<1";"<1";"<1";"<1";"<1";
"KK72340032";"Telfes im Stubai";"Q2 2021 (C120)";"10.06.2021";"13";"geruchlos";"farblos";"keine Trübung";"4.7";"7.97";"11.33";"";"6.62439";"6.61744";"";"25.42957";"13.29342";"<1";"<2";"[0,00081]";"[0,0011]";"[0,00128]";"[0,00122]";"[0,00058]";"2.40582";"<1";"1.3867";"144.00012";"<0,015";"";"";"<0,5";"";"";"";"";"";"";"202";"[0,00837]";"[0,0021]";"<5";"<1";"<10";"<1";"<1";"<1";"<1";"<1";
"KK72340032";"Telfes im Stubai";"Q2 2022 (C220)";"09.06.2022";"12";"geruchlos";"farblos";"keine Trübung";"4.7";"7.96";"11";"";"6.57168";"6.40714";"";"25.49883";"13.02295";"<1";"<2";"[0,00124]";"[0,00138]";"[0,00414]";"<0,01";"[0,00135]";"2.03398";"<1";"1.372";"139.42385";"[0,00162]";"";"";"1.57319";"";"n.a.";"";"";"";"";"195";"[0,01791]";"[0,00208]";"<5";"<1";"<10";"[0,08273]";"[0,1]";"[0,12863]";"<1";"<1";
"KK72340032";"Telfes im Stubai";"Q2 2023 (C320)";"13.06.2023";"15";"geruchlos";"farblos";"keine Trübung";"5.3";"8.12";"11.01";"";"6.86793";"6.47724";"";"26.51977";"13.68799";"<1";"<2";"[0,00054]";"[0,00075]";"<0,02";"<0,01";"[0,00053]";"2.17299";"<1";"1.35062";"140.94927";"<0,015";"";"";"<0,5";"";"";"";"";"";"";"197";"<0,2";"[0,00131]";"[0,454]";"<1";"<10";"[0,09515]";"[0,149]";"<1";"<1";"<1";
"KK72350022";"Haiming";"Q1 2007 (A710)";"13.03.2007";"0";"geruchlos";"farblos ";"keine Trübung";"7.8";"6.72";"8.7";"";"2.04";"1.36";"";"10.4";"2.57";"2.79";"2.21";"<0,02";"[0,0007]";"0.021";"[0,0025]";"<0,01";"2.89";"2.63";"16.8";"29.7";"<0,015";"";"";"[0,173]";"";"n.a.";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";
"KK72350022";"Haiming";"Q2 2007 (A720)";"13.06.2007";"14";"geruchlos";"farblos ";"keine Trübung";"8";"6.43";"7.9";"";"2.17";"1.35";"";"11";"2.76";"2.9";"2.26";"<0,02";"[0,0002]";"0.021";"0.01";"<0,01";"2.94";"2.82";"17.3";"29.3";"<0,015";"";"";"[0,193]";"";"n.a.";"";"";"";"";"99";"[0,06]";"[0,02]";"<20";"<1";"22.7";"<1";"<1";"<1";"2.04";"";
"KK72350022";"Haiming";"Q3 2007 (A730)";"18.09.2007";"13";"geruchlos";"farblos ";"keine Trübung";"8.2";"6.09";"8";"";"2.2";"1.4";"";"11.1";"2.78";"3.15";"2.37";"<0,02";"[0,0006]";"<0,02";"[0,004]";"[0,0028]";"3.17";"3.18";"17.9";"30.4";"<0,015";"";"";"[0,127]";"";"n.a.";"";"";"";"";"102";"";"";"";"";"";"";"";"";"";"";
"KK72350022";"Haiming";"Q4 2007 (A740)";"13.11.2007";"-2";"geruchlos";"farblos ";"keine Trübung";"7.6";"6.34";"8.4";"";"2.13";"1.53";"";"10.7";"2.72";"3.05";"2.25";"<0,02";"[0,0005]";"<0,02";"<0,01";"[0,0005]";"3";"2.97";"17.7";"33.3";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"102";"<0,2";"[0,01]";"<20";"<1";"<10";"<1";"[0,15]";"[0,19]";"1.72";"";
"KK72350022";"Haiming";"Q2 2008 (A820)";"22.04.2008";"7";"geruchlos";"farblos ";"keine Trübung";"8.3";"6.77";"7.5";"";"2.21";"1.36";"";"11.2";"2.77";"3.02";"2.25";"<0,02";"[0,0007]";"0.02";"[0,0017]";"[0,0005]";"2.86";"2.78";"17.6";"29.6";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"120";"100";"<0,2";"[0,07]";"<20";"<1";"<10";"<1";"[0,41]";"[0,09]";"1.85";"1.97";
"KK72350022";"Haiming";"Q4 2008 (A840)";"15.10.2008";"12";"geruchlos";"farblos ";"keine Trübung";"8";"6.61";"9.2";"";"2.26";"1.45";"";"11.4";"2.91";"3.23";"2.38";"<0,02";"[0,0004]";"<0,02";"[0,0036]";"<0,01";"3.47";"3.71";"18.5";"31.5";"0.016";"";"";"[0,2]";"";"n.a.";"";"";"";"";"106";"";"";"";"";"";"";"";"";"";"";
"KK72350022";"Haiming";"Q2 2009 (A920)";"27.05.2009";"14";"geruchlos";"farblos ";"keine Trübung";"8.2";"6.54";"11.6";"";"2.3";"1.41";"";"11.6";"2.94";"3.25";"2.38";"[0,0012]";"[0,0002]";"0.022";"<0,01";"<0,01";"2.86";"3.76";"17.7";"30.8";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"105";"<0,2";"[0,03]";"[1,2]";"[0,09]";"<10";"[0,13]";"[0,18]";"<1";"1.57";"";
"KK72350022";"Haiming";"Q4 2009 (A940)";"27.10.2009";"11";"geruchlos";"farblos ";"keine Trübung";"8";"7.24";"9.3";"";"2.48";"1.49";"";"12.6";"3.05";"3.4";"2.6";"[0,0016]";"[0,001]";"<0,02";"[0,002]";"[0,0022]";"3.19";"4.03";"17.8";"32.4";"[0,0056]";"";"";"<0,5";"";"n.a.";"";"";"";"";"107";"";"";"";"";"";"";"";"";"";"";
"KK72350022";"Haiming";"Q2 2010 (B020)";"19.04.2010";"15";"geruchlos";"farblos ";"keine Trübung";"8";"6.53";"8.31";"";"2.19";"1.51";"";"11.1";"2.78";"3.22";"2.34";"<0,02";"[0,00102]";"<0,02";"<0,006";"[0,00095]";"2.86";"3.48";"17.3";"32.9";"0.00971";"";"";"<0,5";"";"30";"";"";"";"";"101";"[0,08]";"<0,2";"[2,22]";"[0,23]";"[2,19]";"[0,33]";"[0,25]";"[0,26]";"1.74";"";
"KK72350022";"Haiming";"Q4 2010 (B040)";"19.10.2010";"3";"geruchlos";"farblos ";"keine Trübung";"8.1";"6.93";"8.5";"";"2.61";"1.49";"";"13.2";"3.28";"3.75";"2.61";"<0,02";"[0,0005]";"0.021";"<0,006";"<0,006";"3.22";"4.2";"18.3";"32.3";"<0,009";"";"";"<0,5";"";"57";"";"";"";"";"108";"";"";"";"";"";"";"";"";"";"";
"KK72350022";"Haiming";"Q2 2011 (B120)";"15.06.2011";"22";"geruchlos";"farblos ";"keine Trübung";"8.4";"7.25";"8.05";"";"2.27";"1.46";"";"11.4";"2.94";"3.23";"2.31";"<0,02";"<0,02";"<0,02";"[0,0008]";"<0,006";"3.03";"4.17";"18.6";"31.7";"<0,009";"";"";"<0,5";"";"62";"";"";"";"";"115";"<0,2";"<0,2";"<20";"<1";"<10";"[0,1]";"[0,14]";"[0,16]";"1.98";"";
"KK72350022";"Haiming";"Q4 2011 (B140)";"23.11.2011";"-1";"geruchlos";"farblos ";"keine Trübung";"7.9";"6.82";"8.55";"";"2.39";"1.45";"";"11.9";"3.15";"3.5";"2.36";"<0,02";"[0,0012]";"<0,02";"<0,006";"<0,006";"2.99";"4.16";"18.5";"31.6";"<0,009";"";"";"<0,5";"";"n.a.";"";"";"";"";"111";"";"";"";"";"";"";"";"";"";"";
"KK72350022";"Haiming";"Q2 2012 (B220)";"15.05.2012";"19";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.44";"8.21";"";"2.29";"1.94";"";"11.5";"2.93";"3.39";"2.33";"<0,02";"[0,0006]";"<0,02";"<0,006";"<0,006";"2.97";"4.45";"18.5";"42.3";"<0,009";"";"";"<0,5";"";"60";"";"";"";"";"109";"[0,05]";"[0,02]";"<20";"[0,2]";"<10";"[0,2]";"[0,2]";"[0,19]";"1.85";"";
"KK72350022";"Haiming";"Q4 2012 (B240)";"20.11.2012";"2";"geruchlos";"farblos ";"keine Trübung";"8";"6.9";"8.45";"";"2.38";"1.54";"";"11.9";"3.08";"3.69";"2.5";"<0,02";"[0,0005]";"<0,02";"<0,006";"<0,006";"3.14";"4.95";"18.9";"33.6";"<0,009";"";"";"<0,5";"";"n.a.";"";"";"";"";"115";"";"";"";"";"";"";"";"";"";"";
"KK72350022";"Haiming";"Q2 2013 (B320)";"26.06.2013";"10";"geruchlos";"farblos";"keine Trübung";"8.2";"6.85";"8.56";"";"2.74768";"1.55342";"";"14.0897";"3.36598";"3.60869";"2.48579";"[0,00302]";"[0,00028]";"<0,02";"[0,0018]";"<0,006";"3.30508";"5.37504";"18.87867";"33.80342";"<0,009";"";"";"<0,5";"";"n.a.";"";"";"";"";"113";"<0,2";"[0,0358143]";"<5";"<1";"<10";"<1";"<1";"[0,14016]";"2.3639";"2.39234";
"KK72350022";"Haiming";"Q3 2013 (B330)";"21.08.2013";"11";"geruchlos";"farblos";"keine Trübung";"8.3";"6.92";"9.47";"";"2.62477";"1.8254";"";"13.39536";"3.25427";"3.98391";"2.59369";"<0,02";"[0,00243]";"<0,02";"<0,006";"<0,006";"3.63519";"5.81165";"19.1771";"39.72207";"[0,00622]";"";"";"<0,5";"";"n.a.";"";"";"";"";"122";"<0,2";"[0,0729206]";"<5";"<1";"<10";"[0,06571]";"<1";"[0,0807]";"2.46458";"2.24971";
"KK72350022";"Haiming";"Q4 2013 (B340)";"16.10.2013";"6";"geruchlos";"farblos";"keine Trübung";"7.9";"7.16";"8.99";"";"2.58099";"1.57304";"";"13.0162";"3.29444";"3.8965";"2.65528";"[0,001]";"[0,00088]";"<0,02";"<0,006";"[0,00079]";"3.38129";"5.70229";"18.99154";"34.23054";"<0,009";"";"";"<0,5";"";"n.a.";"";"";"";"";"118";"[0,02309]";"[0,0282261]";"<5";"<1";"<10";"[0,177]";"<1";"[0,04444]";"2.24263";"2.47551";
"KK72350022";"Haiming";"Q2 2014 (B420)";"23.06.2014";"16";"geruchlos";"farblos";"keine Trübung";"8.2";"7.02";"8.72";"";"2.50647";"1.52538";"";"12.68358";"3.1731";"3.78229";"2.55834";"[0,00193]";"[0,00143]";"<0,02";"[0,00415]";"[0,00201]";"3.30787";"5.18589";"19.27312";"33.19325";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"116";"<0,2";"<0,2";"<5";"<1";"<10";"<1";"[0,19897]";"[0,2106]";"2.14771";"2.04375";
"KK72350022";"Haiming";"Q4 2014 (B440)";"15.10.2014";"11";"geruchlos";"farblos";"keine Trübung";"8.2";"7.25";"9.65";"";"2.92026";"1.85625";"";"14.54851";"3.8358";"4.31237";"2.78024";"[0,00222]";"[0,00128]";"<0,02";"<0,01";"[0,00114]";"3.6879";"6.42205";"19.35676";"40.39325";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"130";"";"";"";"";"";"";"";"";"";"";
"KK72350022";"Haiming";"Q2 2015 (B520)";"23.06.2015";"12";"geruchlos";"farblos";"keine Trübung";"8.1";"7.1";"8.66";"";"2.52781";"1.71044";"";"12.64754";"3.28748";"3.83491";"2.58486";"<0,02";"[0,00135]";"<0,02";"<0,01";"<0,01";"3.08569";"5.33416";"19.67035";"37.22037";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"117";"<0,2";"<0,2";"<5";"<1";"[1,22883]";"[0,09887]";"[0,18625]";"<1";"2.18544";"2.33512";
"KK72350022";"Haiming";"Q4 2015 (B540)";"07.10.2015";"12";"geruchlos";"farblos";"keine Trübung";"8.1";"7.07";"8.74";"";"3.01477";"1.67679";"";"15.43639";"3.70707";"4.23487";"2.73818";"0.02841";"<0,02";"<0,02";"[0,0023]";"[0,00124]";"3.26113";"5.69121";"19.54766";"36.48817";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"120";"";"";"";"";"";"";"";"";"";"";
"KK72350022";"Haiming";"Q2 2016 (B620)";"21.06.2016";"15";"geruchlos";"farblos";"keine Trübung";"8.2";"6.73";"8.56";"";"2.79367";"1.57585";"";"14.21685";"3.48823";"4.01225";"2.89817";"[0,0012]";"[0,0005]";"<0,02";"<0,006";"0.00887";"3.05631";"5.07063";"19.35344";"34.29155";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"115";"<0,2";"<0,2";"<5";"[0,06973]";"<10";"[0,09873]";"[0,26783]";"[0,24459]";"2.27847";"2.19573";
"KK72350022";"Haiming";"Q2 2017 (B720)";"21.06.2017";"33";"geruchlos";"farblos";"keine Trübung";"8.2";"6.92";"8.92";"";"2.47092";"1.57024";"";"12.40745";"3.18646";"3.89445";"2.62199";"[0,00094]";"[0,0009]";"<0,02";"[0,00186]";"<0,01";"3.14505";"5.39837";"19.86036";"34.16952";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"118";"<0,2";"[0,01289]";"6.71345";"<1";"<10";"[0,07187]";"<1";"[0,27395]";"2.23211";"2.21591";
"KK72350022";"Haiming";"Q2 2018 (B820)";"12.06.2018";"17";"geruchlos";"farblos";"keine Trübung";"8.2";"6.44";"8.97";"";"2.79724";"1.65436";"";"13.99039";"3.64101";"4.57893";"2.97583";"[0,00153]";"[0,00166]";"<0,02";"0.01488";"<0,01";"3.18587";"6.83535";"20.67875";"36.00003";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"128";"<0,2";"<0,2";"6.84002";"<1";"<10";"[0,07286]";"<1";"<1";"2.24853";"2.31366";
"KK72350022";"Haiming";"Q2 2019 (B920)";"22.05.2019";"17";"geruchlos";"farblos";"keine Trübung";"9.2";"6.75";"9.3";"";"2.78373";"1.59828";"";"13.88377";"3.64712";"4.33896";"2.69679";"[0,00181]";"<0,02";"<0,02";"[0,00237]";"[0,00146]";"3.2987";"6.90852";"20.7205";"34.77969";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"127";"<0,2";"<0,1";"<5";"";"[2,25979]";"<1";"[0,14388]";"<1";"2.19713";"2.20129";
"KK72350022";"Haiming";"Q3 2019 (B930)";"12.08.2019";"18";"geruchlos";"farblos";"keine Trübung";"9.1";"6.63";"9.09";"";"2.94074";"1.65436";"";"14.93896";"3.68781";"4.54894";"2.8648";"[0,00061]";"[0,00044]";"<0,02";"[0,00276]";"[0,00136]";"3.69395";"7.91514";"22.04519";"36.00003";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"132";"<0,2";"[0,00318]";"7.5834";"2.00167";"<10";"[0,13497]";"<1";"<1";"2.26787";"2.0498";
"KK72350022";"Haiming";"Q4 2019 (B940)";"01.10.2019";"7";"geruchlos";"farblos";"keine Trübung";"8.6";"6.6";"8.88";"";"2.81145";"1.62632";"";"14.24693";"3.54703";"4.40454";"2.72046";"<0,02";"[0,00129]";"<0,02";"[0,00161]";"[0,00098]";"3.49976";"7.49624";"20.88344";"35.38986";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"130";"<0,2";"[0,00356]";"<5";"1.68184";"<10";"<1";"[0,16428]";"<1";"2.31027";"2.33584";
"KK72350022";"Haiming";"Q2 2020 (C020)";"17.06.2020";"15";"geruchlos";"farblos";"keine Trübung";"8.8";"6.56";"8.72";"";"2.85824";"1.66838";"";"14.54354";"3.56999";"4.72328";"2.90606";"<0,02";"[0,00064]";"<0,02";"[0,00192]";"[0,002]";"3.48793";"7.61883";"22.69829";"36.30512";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"128";"<0,2";"[0,00187]";"<5";"1.40512";"<10";"<1";"[0,137]";"<1";"2.38675";"2.32321";
"KK72350022";"Haiming";"Q2 2021 (C120)";"05.05.2021";"10";"geruchlos";"farblos";"keine Trübung";"8.7";"6.7";"9.22";"";"2.76958";"1.5422";"";"13.89688";"3.57783";"4.64769";"2.76327";"<0,02";"[0,00071]";"<0,02";"<0,01";"[0,00122]";"3.21108";"8.28479";"22.39681";"33.55935";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"129";"<0,2";"[0,00123]";"6.95266";"1.38704";"<10";"<1";"[0,08504]";"<1";"2.39053";"2.42041";
"KK72350022";"Haiming";"Q2 2022 (C220)";"28.06.2022";"20";"geruchlos";"farblos";"keine Trübung";"9.5";"6.58";"8.86";"";"2.85122";"1.65436";"";"14.51421";"3.55734";"5.09174";"2.86453";"<0,01";"[0,00073]";"<0,02";"<0,01";"[0,00189]";"3.17177";"7.47729";"22.3691";"36.00003";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"129";"<0,2";"[0,00253]";"9.612";"5.6448";"<10";"<1";"[0,158]";"<1";"2.17986";"2.31611";
"KK72350022";"Haiming";"Q2 2023 (C320)";"13.06.2023";"12";"geruchlos";"farblos";"keine Trübung";"8.4";"6.7";"9.21";"";"2.73131";"1.5422";"";"13.80633";"3.46686";"4.8152";"2.77859";"[0,00054]";"[0,00075]";"<0,02";"<0,01";"[0,00053]";"2.80783";"6.72303";"22.12017";"33.55935";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"126";"<0,2";"[0,00131]";"<5";"<1";"<10";"[0,11387]";"<1";"<1";"2.15015";"2.41412";
"KK72420012";"Hippach";"Q2 1992 (9140)";"23.07.1992";"22.5";"geruchlos";"farblos ";"keine Trübung";"6.5";"7.04";"10.4";"";"2.76";"2.22";"";"12.3";"4.5";"0.7";"<0,5";"<0,02";"<0,02";"<0,02";"<0,01";"<0,01";"1.16";"<1";"8.83";"48.4";"<0,02";"";"";"0.63";"";"74.4";"";"";"";"";"94.08602";"<0,2";"<0,2";"";"";"";"<1";"<1";"";"1";"";
"KK72420012";"Hippach";"Q3 1992 (9210)";"10.09.1992";"17";"geruchlos";"farblos ";"keine Trübung";"7.2";"7.16";"10.5";"";"2.93";"2.36";"";"13.4";"4.56";"0.8";"<0,5";"<0,02";"<0,02";"<0,02";"<0,01";"<0,01";"1.25";"<1";"13.1";"51.4";"<0,02";"";"";"<0,5";"";"61.1";"";"";"";"";"102.15054";"<0,2";"<0,2";"";"";"";"<1";"<1";"";"<1";"";
"KK72420012";"Hippach";"Q4 1992 (9220)";"04.11.1992";"7";"geruchlos";"farblos ";"keine Trübung";"5.5";"6.88";"7.8";"";"3.16";"2.43";"";"14.4";"4.96";"0.9";"<0,5";"<0,02";"<0,02";"0.06";"<0,01";"<0,01";"1.27";"<1";"14.1";"53";"<0,02";"";"";"<0,5";"";"34.7";"";"";"";"";"109.319";"0.2";"<0,2";"";"";"";"<1";"<1";"";"1";"";
"KK72420012";"Hippach";"Q1 1993 (9230)";"17.06.1993";"16";"geruchlos";"farblos ";"keine Trübung";"7.9";"6.93";"9.3";"";"2.69";"2.13";"";"11.67";"4.59";"0.72";"<0,25";"<0,02";"<0,02";"<0,02";"<0,01";"<0,01";"1.41";"<1";"10.58";"46.53";"<0,02";"";"";"<0,5";"";"85.2";"";"";"";"";"94.08602";"<0,2";"<0,1";"";"";"";"<1";"<1";"";"1";"";
"KK72420012";"Hippach";"Q2 1993 (9240)";"10.08.1993";"17";"geruchlos";"farblos ";"keine Trübung";"6.2";"7.21";"10.7";"";"2.92";"2.36";"";"12.49";"5.11";"0.82";"<0,25";"<0,02";"<0,02";"<0,02";"<0,01";"<0,01";"1.31";"<1";"10.87";"51.4";"<0,02";"";"";"0.8";"";"87.5";"";"";"";"";"96.77419";"<0,2";"<0,1";"";"";"";"<1";"<1";"";"<1";"";
"KK72420012";"Hippach";"Q3 1993 (9310)";"21.09.1993";"16";"geruchlos";"farblos ";"keine Trübung";"7";"7.19";"10.1";"";"3.1";"2.42";"";"13.55";"5.25";"0.77";"0.3";"<0,02";"<0,02";"<0,02";"<0,01";"<0,01";"1.27";"<1";"11.74";"52.7";"<0,02";"";"";"<0,5";"";"65.3";"";"";"";"";"102.15054";"<0,2";"<0,1";"";"";"";"<1";"<1";"";"<1";"";
"KK72420012";"Hippach";"Q4 1993 (9320)";"04.11.1993";"4";"geruchlos";"farblos ";"keine Trübung";"5.6";"7.33";"13";"";"3.17";"2.52";"";"13.96";"5.28";"0.9";"0.29";"<0,02";"<0,02";"0.024";"<0,01";"<0,01";"1.29";"<1";"13.13";"54.9";"<0,02";"";"";"<0,5";"";"47";"";"";"";"";"110.21505";"<0,2";"<0,1";"";"";"";"<1";"<1";"";"<1";"";
"KK72420012";"Hippach";"Q1 1994 (9330)";"04.05.1994";"";"geruchlos";"farblos ";"keine Trübung";"3.9";"7.38";"10.9";"";"2.66";"2.31";"";"11.18";"4.76";"0.71";"0.27";"<0,02";"<0,02";"<0,02";"<0,01";"<0,01";"2.28";"<1";"8.77";"50.3";"<0,02";"";"";"<0,5";"";"97";"";"";"";"";"99.46237";"<0,1";"<0,1";"";"";"";"<1";"<1";"";"<1";"";
"KK72420012";"Hippach";"Q2 1994 (9340)";"09.06.1994";"7";"geruchlos";"farblos ";"keine Trübung";"4.8";"7.27";"10.2";"";"2.52";"2.13";"";"10.65";"4.49";"0.66";"<0,25";"<0,02";"<0,02";"<0,02";"0.022";"<0,01";"1.53";"<1";"9.19";"46.4";"<0,02";"";"";"<0,5";"";"99.5";"";"";"";"";"86.91756";"<0,1";"<0,1";"";"";"";"<1";"<1";"";"<1";"";
"KK72420012";"Hippach";"Q3 1994 (9410)";"08.08.1994";"24";"geruchlos";"farblos ";"keine Trübung";"7.1";"7.31";"10";"";"3.03";"2.43";"";"13.43";"5.02";"0.8";"0.27";"";"";"<0,02";"<0,01";"<0,01";"1.13";"<1";"14.12";"53";"<0,02";"";"";"<0,5";"";"61.1";"";"";"";"";"101.25448";"";"";"";"";"";"";"";"";"";"";
"KK72420012";"Hippach";"Q4 1994 (9420)";"10.10.1994";"3";"geruchlos";"farblos ";"keine Trübung";"6.3";"7.63";"10.1";"";"3.14";"2.63";"";"14.11";"5.09";"0.78";"<0,2";"";"";"<0,02";"<0,01";"<0,01";"1.2";"<1";"13.39";"57.4";"<0,02";"";"";"<0,5";"";"45.4";"";"";"";"";"108.42294";"";"";"";"";"";"";"";"";"";"";
"KK72420012";"Hippach";"Q1 1995 (9430)";"20.06.1995";"20.5";"geruchlos";"farblos ";"keine Trübung";"4.7";"7.25";"9.62";"";"2.55";"2.28";"";"11.14";"4.33";"0.7";"<0,4";"";"";"<0,004";"0.015";"<0,002";"1.66";"<1";"9.23";"49.7";"<0,012";"";"";"<0,5";"";"97";"";"";"";"";"84.22939";"";"";"";"";"";"";"";"";"";"";
